time,area
7/3/2003,288.6215366
7/19/2003,284.3558653
8/4/2003,250.8414245
8/20/2003,259.5003355
9/5/2003,238.299762
9/21/2003,202.1512737
10/7/2003,165.3465612
11/16/2003,106.3389584
4/8/2004,120.6268854
5/2/2004,148.3205389
6/19/2004,202.8804507
7/5/2004,198.9702814
7/21/2004,188.1239323
8/6/2004,167.6252036
9/7/2004,97.95342881
9/23/2004,76.88062612
10/1/2004,76.77353762
11/10/2004,91.27260698
11/26/2004,94.41697601
5/21/2005,260.8766514
6/5/2005,285.3859387
6/14/2005,287.099372
6/21/2005,289.0591483
6/22/2005,286.8624134
6/30/2005,278.7686051
7/8/2005,273.9561077
7/16/2005,270.6822538
7/24/2005,261.2321427
8/1/2005,244.9061382
8/9/2005,249.8844423
8/17/2005,234.7014427
8/25/2005,234.3257925
9/2/2005,214.3557417
9/10/2005,209.6525738
9/18/2005,192.4519983
10/12/2005,146.1330232
5/8/2006,219.9520916
5/16/2006,245.3981916
5/24/2006,267.2112953
6/9/2006,286.5342755
6/25/2006,293.6983604
7/10/2006,282.4599404
7/11/2006,278.7686189
7/27/2006,248.3896398
8/12/2006,239.8128083
8/28/2006,229.2489707
9/13/2006,209.7801893
9/29/2006,173.9780945
10/30/2006,116.1734218
11/8/2006,103.5793363
4/8/2007,122.7267774
4/9/2007,124.6773063
4/24/2007,113.2385084
4/25/2007,119.3543819
5/10/2007,146.114803
5/11/2007,146.6616716
5/19/2007,154.2479305
5/27/2007,174.187673
6/12/2007,178.4168902
6/28/2007,183.6030775
7/14/2007,176.2840657
7/30/2007,166.1213238
8/14/2007,152.1850841
8/15/2007,151.9936886
9/16/2007,106.2294359
10/2/2007,97.43389425
11/2/2007,91.16318136
4/27/2008,132.5067401
5/13/2008,188.187749
6/14/2008,246.8127798
6/30/2008,237.0784136
7/16/2008,236.7958505
8/1/2008,225.8856981
8/17/2008,224.6005326
9/2/2008,211.083594
9/18/2008,195.7984031
10/20/2008,124.6681686
5/16/2009,265.5797762
7/3/2009,270.3193839
7/19/2009,257.3401952
8/4/2009,251.3791843
8/20/2009,217.0718444
9/21/2009,162.3205035
10/7/2009,159.6681572
10/23/2009,141.967621
5/3/2010,188.0966496
6/20/2010,284.5654767
7/6/2010,251.4247671
7/22/2010,244.3974
8/7/2010,238.5184877
8/23/2010,224.6734251
9/24/2010,176.3478443
10/10/2010,145.5314328
6/7/2011,190.3022906
6/23/2011,271.1031965
7/9/2011,293.7438898
7/25/2011,293.9990918
8/10/2011,287.1175697
8/26/2011,278.176148
9/27/2011,214.7111467
10/13/2011,178.3803703
10/29/2011,122.6447285
4/30/2012,203.3816988
4/25/2013,127.4207908
5/11/2013,147.4819863
6/12/2013,153.7527691
6/28/2013,146.5158466
7/14/2013,142.2319807
7/30/2013,137.6382145
8/15/2013,122.5080312
9/16/2013,105.1083345
10/2/2013,100.2958474
10/18/2013,94.26204043
11/3/2013,94.81799422
2/23/2014,112.0626993
3/11/2014,123.3738965
4/12/2014,123.6200103
4/28/2014,142.6967993
5/14/2014,128.4963125
5/30/2014,140.8647584
6/15/2014,124.9233861
7/1/2014,100.1956029
8/2/2014,99.73986712
8/18/2014,99.53022926
9/3/2014,98.20862076
9/19/2014,102.6564956
10/5/2014,99.06537941
10/21/2014,102.820547
1/25/2015,119.3270142
3/30/2015,79.45091009
4/15/2015,79.60586601
5/1/2015,89.64096635
6/2/2015,100.3140871
6/18/2015,102.0184932
7/20/2015,98.31800204
8/5/2015,98.01722397
8/21/2015,99.38439303
9/6/2015,95.57452463
9/22/2015,95.5471771
10/8/2015,96.75033783
4/17/2016,102.647413
5/22/2016,182.2176733
5/22/2016,182.4476709
6/11/2016,219.1864541
6/11/2016,219.3578846
6/20/2016,230.6434771
7/1/2016,217.9468835
7/1/2016,218.6745338
7/6/2016,224.928629
7/14/2016,218.3570232
7/14/2016,218.2827625
7/21/2016,214.6929618
7/21/2016,215.0755456
7/22/2016,218.3205765
8/3/2016,209.6708348
8/3/2016,209.2442393
8/7/2016,212.4234185
8/10/2016,204.2840947
8/10/2016,204.4243402
8/23/2016,197.9585457
8/23/2016,192.7359025
8/23/2016,192.9531073
8/30/2016,183.776269
8/30/2016,183.8690537
9/8/2016,178.0978833
9/19/2016,168.8556888
9/19/2016,168.6894827
9/24/2016,169.5666266
10/2/2016,196.3083867
10/2/2016,196.2791899
10/9/2016,148.3569952
10/9/2016,148.1888518
10/26/2016,126.4637599
10/29/2016,125.9989083
10/29/2016,125.9388263
11/11/2016,124.8596107
11/11/2016,120.3296931
11/11/2016,120.3534968
